Course Description,Num Students,Avp GPA,Session Description, Descriptor of what it means
THE CALL OF PUBLIC SERVICE,161,3.4167453416149067,69,Regular Academic Session
MANAGING & LEADING ORGS,787,3.2116327827191866,82.2,Regular Academic Session
ELEM GOV/NONPRFT FIN ACCT CYC,723,2.8246265560165975,87.5,Regular Academic Session
USING IT IN PUBLIC AFFAIRS,463,3.250008639308855,69,Regular Academic Session
TERRORISM AND PUBLIC POLICY,121,2.9925702479338843,95,Regular Academic Session
INTRODUCTION TO EMERGENCY MGMT,163,3.5919386503067483,98,Regular Academic Session
COMM FOR GOVT & NONPROFIT ORGS,609,3.4554203612479477,82.9,Regular Academic Session
MNG EXTER COLLAB & NETWORKS,92,2.6033043478260867,100,Regular Academic Session
LEGAL HISTORY & PUBLIC POLICY,294,3.5775068027210892,75.7,Regular Academic Session
INTRO TO GOVT ACCTG/FINL REPTG,148,3.3491013513513512,100,Regular Academic Session
MANAGEMENT SCIENCE,154,2.7935,91.2,Regular Academic Session
NONPROFIT MGMT & LEADERSHP,139,3.168208633093526,46.4,Regular Academic Session
URBAN DEVELOPMENT AND PLANNING,40,3.285,61.3,Regular Academic Session
MANAGING INFORMATION TECH,368,3.364845108695652,74.5,Regular Academic Session
RESEARCH MTHD & STAT MODELING,190,2.6879578947368423,90.6,Regular Academic Session
FINANCING PUBLIC AFFAIRS,121,2.81804132231405,100,Regular Academic Session
HUMAN RESOURCE MGMT PUB SECTOR,688,3.3033822674418603,91.1,Regular Academic Session
INTERMED PUBLIC BUDGET & FIN,223,2.899479820627803,98.2,Regular Academic Session
FEDERAL GOVERNMENT PROCESSES,37,3.807972972972973,100,Regular Academic Session
PERF MEASUREMENT&PROGRAM EVAL,520,3.2355038461538457,90,Regular Academic Session
CASE STDS FOR POLICY ANALYSIS,53,3.4866226415094337,93.3,Regular Academic Session
FIN & COST BENEFIT ANALYSIS,164,2.9493475609756103,100,Regular Academic Session
PUBL LAW & LEGISLATIVE PROCESS,148,3.624141891891892,93.5,Regular Academic Session
"ADVOC, POL CHANGE & GOV RELATN",90,3.809277777777778,81.4,Regular Academic Session
FED POLICY & HEARING PROCESS,37,3.992,100,Regular Academic Session
LEADERSHIP AND ETHICS,312,2.925073717948718,94,Regular Academic Session
NTL SECURITY BUREAUCRACY & POL,44,3.186681818181818,87.5,Regular Academic Session
"ENV LAW, JUSTICE & POLITICS",176,3.032357954545454,82.7,Regular Academic Session
HOMELAND SEC: POLICY&PRACTICE,136,3.7566176470588233,74.4,Regular Academic Session
NEGOTIATION & ALTERN DISP RES,382,3.314015706806283,100,Regular Academic Session
PUBLIC TRANSPORTATION,69,2.879449275362319,81.5,Regular Academic Session
DEBATES IN PUBLIC FINANCE,68,3.589838235294118,100,Regular Academic Session
MANAGING WORK FORCE DIVERSITY,174,3.454201149425287,83.3,Regular Academic Session
SENIOR POLICY SEMINAR,24,3.516458333333334,71.4,Regular Academic Session
CONTEM ISSUES IN PUBLIC AFF,349,3.521137535816618,90,Regular Academic Session
TOPICS IN PUBLIC LAW,310,3.242235483870968,100,Regular Academic Session
FUND DEV FOR NONPRFT ORG,56,3.762410714285714,89.7,Regular Academic Session
CLOUD COMPUTING APPLS IN PA,29,2.6795172413793105,87.5,Regular Academic Session
COMMUNITY DEVELOPMENT,92,3.2738043478260868,84.2,Regular Academic Session
DATABASE MANAGEMENT SYSTEMS,46,3.5129782608695654,100,Regular Academic Session
COMPNSATION STRATEGY & SYSTEMS,95,3.180031578947368,100,Regular Academic Session
EMPLOYMNT LAW HUMAN RES MGMT,127,2.9984960629921256,93.9,Regular Academic Session
EMPL RECRUTMNT & SELEC PUB SEC,111,3.437612612612612,100,Regular Academic Session
GRANT WRITING FOR PUB & NP ORG,82,3.7901219512195126,91.4,Regular Academic Session
HONORS RES PUB & ENVIR AFFAIRS,75,3.888053333333333,100,Regular Academic Session
HONORS THESIS,33,3.981818181818182,100,Regular Academic Session
CAPSTONE IN PUBL & ENV AFFAIR,136,3.938117647058823,100,Regular Academic Session
STATISTICS FOR RSCH PUB AFFS I,14,3.3855,100,Regular Academic Session
RSRCH DESIGN & METH PUB AFF,14,3.4499999999999997,100,Regular Academic Session
THESIS (PH D),40,4.0,100,Regular Academic Session
COACHING OF BASKETBALL,84,3.8796666666666675,27,Eight Week - First
PRINC OF SPORTS OFFICIATING,18,4.0,33.3,Eight Week - Second
EMERGENCY RESPONSE FOR THE AT,13,3.085,100,Regular Academic Session
APPLIED CLINICAL PRACTICE AT I,24,3.9624166666666665,100,Regular Academic Session
CRITICAL INQ ATH HEALTHCARE I,24,3.7957916666666667,100,Regular Academic Session
PRIN TECH THER INTERVENTION II,19,3.9,100,Regular Academic Session
APPLIED CLIN PRACTICE AT III,20,3.8251000000000004,100,Regular Academic Session
CRIT INQ ATH HEALTHCARE III,20,3.810250000000001,100,Regular Academic Session
ORTH PRIN MSK INJ I,23,3.3089130434782605,100,Regular Academic Session
ATHL TRG PRINCIPLES FOR SPINE,26,3.746076923076923,100,Regular Academic Session
INTRODUCTION TO PUBLIC HEALTH,784,3.5531607142857142,45.5,Regular Academic Session
PUBLIC HEALTH COMMUNICATION,566,3.524252650176678,100,Regular Academic Session
PUB HEALTH DIVERSE COMMUNITIES,235,3.2480425531914894,80.8,Regular Academic Session
HEALTH IN THE LATER YEARS,89,3.5762247191011234,23.8,Regular Academic Session
AGING TODAY,129,3.489968992248062,17.9,Regular Academic Session
COMMUNITY HEALTH,534,3.585149812734082,64.7,Regular Academic Session
PUBLIC HEALTH PROGRAM PLANNING,220,3.7588545454545454,81.5,Regular Academic Session
THEORY & CONCEPT FRAMEWORKS PH,22,3.5681818181818183,100,Regular Academic Session
INTERVNTN DESIGN PUBLIC HEALTH,15,3.8732,100,Regular Academic Session
"HLTH, LONG & INTG THER LTR YRS",6,4.0,57.1,Regular Academic Session
SEX REPRO HEALTH SURVEILLANCE,19,3.878947368421053,55.6,Thirteen Week
SEX HLTH RES EVAL MTH APP,28,3.6894285714285715,66.7,Eight Week - Second
ADV EVAL RES IN PUB HLTH,9,4.0,77.8,Regular Academic Session
ADVANCED SEM IN PUB HLTH,23,4.0,100,Thirteen Week
INTRO TO SPORT COMMUNICATION,940,3.400270212765957,56,Regular Academic Session
ISSUES IN SPORT COMMUNICATION,319,3.749332288401254,86,Regular Academic Session
SPORT COMMUNICATIONS,8,3.913,100,Eight Week - First
PUB HLTH SURV MONITOR,183,3.428950819672131,25,Regular Academic Session
INTRODUCTION TO EPIDEMIOLOGY,365,3.472701369863014,82.5,Regular Academic Session
ID OUTBREAKS AND INVESTIGATION,47,3.659617021276596,78.9,Regular Academic Session
DIST & DETERMINANT CHRONIC DIS,77,3.452246753246753,85.4,Regular Academic Session
EPI METHODS: CONCEPTS,61,2.9687868852459016,100,Regular Academic Session
EPI METHODS: APPLICATION,67,3.2880895522388065,100,Regular Academic Session
ETHICS AND EXPLOITATION,27,3.140592592592592,22.2,Eight Week - Second
EPIDEMIOLOGY,82,3.7878170731707317,100,Regular Academic Session
SOCIAL EPIDEMIOLOGY,42,3.766547619047619,100,Regular Academic Session
INTRO TO LIFE SPAN DEVELOPMENT,1212,3.630447194719471,23.9,Eight Week - Second
INTRO TO CHILD AND YOUTH WORK,113,3.847734513274336,40,Thirteen Week
HUMAN SEXUALITY,866,3.5057274826789846,13.3,Eight Week - Second
"RELATNSHIPS, MARRIAGE & FAMILY",346,3.5754161849710986,10.5,Eight Week - Second
"PARENTS, PARENTING, & CHILDREN",143,3.5250979020979023,65.8,Regular Academic Session
PRENATAL EARLY CHLHD-HUM DEV 1,51,3.3429803921568633,72.2,Regular Academic Session
MID CHLDHD THRU ADOL-HUM DEV 2,99,3.7194343434343438,89.5,Thirteen Week
EARLY THRU LATE ADLT-HUM DEV 3,49,3.8798163265306123,66.7,Regular Academic Session
POSITIVE YOUTH DEVELOPMENT,72,3.7167361111111115,50,Eight Week - Second
AFRCN AMERICAN&LATINO FAMILIES,86,3.6837209302325578,80.6,Thirteen Week
PROF PREP IN HUM DEV&FAMILY ST,57,3.4035438596491225,100,Regular Academic Session
FAMILY LIFE EDUCATION,14,3.571857142857143,100,Regular Academic Session
PROTECT FACTR/STRESS/RESIL FAM,91,3.755186813186813,55.9,Thirteen Week
FAMILY LAW AND POLICY,51,3.1374117647058823,100,Regular Academic Session
CHILDREN'S HEALTH UP TO AGE 5,426,3.425969483568075,23.8,Eight Week - Second
FIRST AID AND EMERGENCY CARE,267,3.9282322097378275,40.8,Thirteen Week
HEALTH THROUGH THE COLLEGE YRS,160,3.4163249999999996,24,Regular Academic Session
INTL HEALTH & SOCIAL ISSUES,144,3.545166666666667,26.8,Regular Academic Session
PREV OF VIOLENCE IN AMER SOC,332,3.4550451807228924,10.3,Eight Week - Second
STRESS PREVENTION & MANAGEMENT,3489,3.7597259959873894,9.9,Eight Week - Second
DEATH & DYING,233,3.577364806866953,8,Regular Academic Session
PERSONAL HEALTH,2499,3.6505762304921974,14.6,Regular Academic Session
WOMEN'S HEALTH,326,3.611831288343558,29.7,Regular Academic Session
MEN'S HEALTH,325,3.517495384615385,10.5,Regular Academic Session
COVID-19:IMPLIC MTRNL/CHLD HTH,13,3.7463846153846156,83.3,Regular Academic Session
DRUG USE IN AMERICAN SOCIETY,530,3.63722641509434,25,Eight Week - Second
GLOBAL HEALTH PROMOTION,72,3.763888888888889,37.5,Regular Academic Session
THE NATURE OF CANCER,319,3.6632539184952977,17.9,Eight Week - Second
HEART HEALTH AND DIABETES,13,3.154153846153846,30,Eight Week - Second
TOPICAL SEMINAR IN HEALTH PROM,153,3.559718954248366,50,Regular Academic Session
COMPLEMENTARY/ALT APPR TO HLTH,43,3.827837209302325,91.3,Regular Academic Session
WRITING IN PUBLIC HEALTH,296,3.764601351351352,92.3,Regular Academic Session
MATERNAL AND CHILD HEALTH,204,3.6357647058823526,23.1,Eight Week - Second
PCTM IN SEX & REPROD HLTH EDUC,16,3.474875,22.2,Regular Academic Session
EMERGENCY MED TECHN AMBUL I,64,3.8170468749999995,33.3,Regular Academic Session
EMERGENCY MEDICAL TECHNICN LAB,59,3.793169491525424,21.4,Regular Academic Session
PRINC SUB ABUSE ASSESS & TREAT,97,3.7966907216494845,30,Eight Week - Second
RES & EVAL MTHDS IN PUBLC HLTH,303,3.592686468646864,96.9,Regular Academic Session
FNDTL ISSUES MATRNL/CHILD HLTH,25,3.7397199999999997,75,Eight Week - Second
ACQUIRING & MANAGING EXT FUNDS,23,3.5043043478260865,100,Regular Academic Session
ADVANCED SEM IN HLTH BEHAVIOR,35,3.928485714285715,100,Thirteen Week
EXPRNCE IN PHYSICAL ACTIVITY,882,3.868070294784581,9.1,Regular Academic Session
ARCHERY,146,3.801431506849315,11.1,Regular Academic Session
BASIC FISHING TECHNIQUES,136,3.360375,3.6,Regular Academic Session
BASKETBALL,454,3.7170550660792947,6.9,Regular Academic Session
BILLIARDS,331,3.821299093655588,5.6,Regular Academic Session
BOWLING,1168,3.743496575342466,0,Regular Academic Session
PERSONAL FITNESS/WELLNESS,786,3.611431297709924,51.1,Regular Academic Session
FENCING,152,3.7052105263157897,0,Regular Academic Session
ARMY PHYSICAL FITNESS,25,3.9322000000000004,0,Regular Academic Session
INDOOR CLIMBING,423,3.9309550827423174,12.5,Eight Week - Second
INDOOR CLIMBING-INTERMEDIATE,134,3.9059925373134328,0,Eight Week - Second
BEGINNING BRAZILIAN JU-JITSU,258,3.848837209302326,9.1,Regular Academic Session
MODERN ARNIS,18,4.0,11.1,Regular Academic Session
INTRO TO THE MARTIAL ARTS,68,3.808867647058823,3.6,Regular Academic Session
JEET KUNE DO CONCEPTS,20,3.5501000000000005,9.1,Regular Academic Session
HAPKIDO,20,3.5,8.3,Regular Academic Session
JUDO,73,3.846438356164383,0,Regular Academic Session
TAE KWON DO,73,3.565794520547945,0,Regular Academic Session
SELF DEFENSE,351,3.7839886039886044,4.2,Regular Academic Session
JAPANESE JU-JITSU,54,3.9464444444444444,0,Regular Academic Session
ESCRIMA,25,3.92,0,Regular Academic Session
VOLLEYBALL,222,3.772207207207207,5.1,Regular Academic Session
YOGA I,649,3.76379815100154,0,Regular Academic Session
INTERMED BRAZILIAN JU-JITSU,67,4.0,0,Regular Academic Session
INTERMEDIATE TAE KWON DO,12,3.9250000000000003,0,Regular Academic Session
INTRODUCTION TO SCUBA,86,3.8055930232558133,0,Eight Week - Second
SCUBA KNOWLEDGE DEVELOPMENT,98,3.9387551020408167,0,Eight Week - Second
TENNIS - INTERMEDIATE,42,3.959619047619048,0,Eight Week - Second
ADVANCED BRAZILIAN JU-JITSU,25,4.0,0,Regular Academic Session
SCUBA CERTIFICATION,175,3.8641428571428573,6.3,Regular Academic Session
ADVANCED SCUBA,55,3.761727272727273,6.3,Regular Academic Session
DIVER SAFETY & RESCUE,28,3.907357142857143,0,Regular Academic Session
INTRO TO KINE AND PH,1343,2.9663335815338794,69.5,Regular Academic Session
CAREERS IN HELPING PROFESSIONS,413,3.415738498789346,34.4,Eight Week - First
COMPUTER TECH PUBLIC HEALTH,657,3.518729071537291,67.9,Regular Academic Session
STRUCTURAL KINESIOLOGY,193,2.594300518134715,64.4,Regular Academic Session
INTRO TO EXERCISE SCIENCE,965,3.0146404145077725,23.6,Regular Academic Session
FOUND PHYSICAL ACTIVITY & PUBL,187,2.8117272727272726,80.3,Regular Academic Session
BASIC PREV&CARE OF ATHL INJ,342,3.640269005847953,88.3,Regular Academic Session
MOVMT EXP PRESCH & ELEM CHLD,154,3.564987012987013,0,Regular Academic Session
PROFESSIONAL & CAREER PREP,137,3.496364963503649,30,Eight Week - Second
MECHANICAL BASIS OF HUMAN MVMT,245,2.994461224489796,100,Regular Academic Session
THEORIES OF ADV CONDITIONING,39,3.766846153846154,86.7,Regular Academic Session
PHYS ACTIVITY/EXERCISE LDRSHP,67,3.2436119402985075,93.3,Regular Academic Session
BEHAVIORAL ASPECTS OF PA/EX,73,3.3454246575342466,89.7,Regular Academic Session
THEORIES CONDITION FOR COACHNG,50,3.1400200000000003,68.2,Regular Academic Session
INTERMED SPECIAL TOPICS KINES,193,3.5642020725388606,80,Regular Academic Session
PRACTICUM IN ADAPTED PHYS ACT,13,4.0,100,Regular Academic Session
BIOMECHANICS,294,2.1243367346938777,91.8,Regular Academic Session
ADAPTED PHYSICAL ACTIVITY,59,3.2153559322033898,90,Regular Academic Session
EXERCISE AND SPORT PSYCHOLOGY,485,3.348360824742268,93,Regular Academic Session
BASIC PHYSIOLOGY OF EXERCISE,230,2.7234521739130435,100,Regular Academic Session
EXERCISE IN HEALTH AND DISEASE,204,3.121990196078431,92.6,Regular Academic Session
PA/FITNESS ADMINISTRATION,49,3.4714489795918366,93.3,Regular Academic Session
PHYSICAL ACTIVITY AND DISEASE,37,2.9945945945945946,100,Regular Academic Session
FITNESS TESTING & INTERPRETATN,45,2.949044444444444,100,Regular Academic Session
ADVANCED SPECIAL TOPICS KINES,102,3.7030686274509805,42.9,Eight Week - Second
MOTOR LEARNING,470,3.9647574468085103,95.5,Regular Academic Session
MOTOR DEVELOPMENT & LEARNING,39,3.872,90,Regular Academic Session
RESEARCH IN KINESIOLOGY,22,3.9680909090909093,0,Regular Academic Session
MECH ANALYS OF HUM PERFORMANCE,14,3.379,100,Regular Academic Session
PHYSIOL BASIS OF HUMAN PERF,24,3.971,100,Regular Academic Session
NEUROMUSCULAR CNTRL OF MOVEMT,20,3.91,91.7,Regular Academic Session
SPEC TOP IN KINES (TITLE),46,3.9435000000000002,100,Regular Academic Session
PA ACROSS LIFESPAN,17,3.0058823529411764,100,Regular Academic Session
PA BEHAVIORAL INTERVENTIONS,11,3.882,90.9,Regular Academic Session
CARDIO PHYSIOLOGY OF EXERCISE,10,4.0,100,Regular Academic Session
PERSONAL LEADERSHIP DEVELOPMNT,182,3.91289010989011,31.3,Regular Academic Session
INTRO TO SPORT MANAGEMENT,1313,3.3108088347296274,32,Regular Academic Session
SPORT INDUSTRY STUDIES,996,3.318523092369478,80,Regular Academic Session
ESPORTS MANAGEMENT & MARKETING,97,3.214,85,Regular Academic Session
MANAGING THE SPORT ENTERPRISE,642,3.0754143302180683,75.4,Regular Academic Session
ISSUES:INTERCOLLEGTE ATHLETICS,497,3.4067545271629776,86.3,Regular Academic Session
SPORT IN AMER: HIST PERSPECTV,589,3.084684210526316,92.5,Regular Academic Session
SPORT IN AMERICAN SOCIETY,615,3.2016065040650403,92.6,Regular Academic Session
SPORT MANAGEMENT COLLOQUIUM,802,3.290769326683291,87.7,Regular Academic Session
LEGAL ISSUES IN SPORT SETTINGS,453,3.435792494481236,100,Regular Academic Session
SPORT PROMOTIONS & PUBL RELNS,500,3.2624239999999998,99.3,Regular Academic Session
SPORT MARKETING,666,3.414990990990991,77,Eight Week - First
FINANCIAL PRINCIPLES IN SPORT,395,3.13093417721519,99.3,Regular Academic Session
SPORT GOVERNANCE IN GLBL COMM,425,3.548644705882353,98,Regular Academic Session
SALES MANAGEMENT IN SPORT,432,3.371988425925926,95.7,Regular Academic Session
STRAT MGMT IN SPORT INDUSTRY,419,3.4029785202863967,94,Regular Academic Session
LEGAL ISS IN SPORT ENVIRONMNT,14,3.979,100,Regular Academic Session
SPORT MARKETING & SPONSORSHIP,26,3.988576923076923,83.3,Eight Week - First
GOVERNANCE IN SPORT MANAGEMENT,14,3.8857142857142857,100,Regular Academic Session
RESEARCH IN SPORT MANAGEMENT,14,3.5072857142857146,100,Regular Academic Session
PSYCH FOUND OF EXERCISE/SPORT,13,3.615,100,Regular Academic Session
SALES & SERVICE MGMT IN SPORT,21,4.0,100,Regular Academic Session
INTRODUCTION TO FOODS,95,3.835042105263158,58.3,Regular Academic Session
NUTRITION FOR HEALTH,485,3.4367690721649486,75,Regular Academic Session
HUMAN NUTRITION,1072,3.4221828358208954,32.1,Regular Academic Session
METHODS NUTRITIONAL ASSESSMENT,42,3.1383809523809525,91.3,Regular Academic Session
APPLIED SPORTS NUTRITION,69,3.10436231884058,54.3,Regular Academic Session
QUANTITY FOOD PURCHASING/PROD,37,3.310972972972973,100,Regular Academic Session
PUBLIC HEALTH NUTRITION,63,3.552238095238095,53.3,Thirteen Week
ISSUES IN DIETETICS,32,3.990625,100,Regular Academic Session
ADVANCED NUTRITION I,40,2.56,95.2,Regular Academic Session
MEDICAL NUTRITION THERAPY,39,3.025692307692308,100,Regular Academic Session
HAPPY HOOSIERS,39,3.8616410256410254,10.5,Intersession
WILDFLOWERS & WILD EDIBLES,90,3.516911111111111,24.1,Eight Week - First
NATURAL HISTORY&FIELD ECOLOGY,43,3.621069767441861,100,Regular Academic Session
OUTDOOR ADVENTURE EDUCATION,28,3.7392857142857143,43.8,Eight Week - First
INTEGRATED RESOURCE MANAGEMENT,39,3.8231538461538466,31.6,Regular Academic Session
ECOSYSTEM MANAGEMENT,49,3.6206530612244894,41.7,Regular Academic Session
PUBLIC HEALTH ADMINISTRATION,263,3.750117870722433,95.8,Thirteen Week
FINANCE & BUDGETING PUB HEALTH,28,3.943,100,Regular Academic Session
PUBLIC HEALTH ECONOMICS,40,3.9676500000000003,100,Thirteen Week
INTRODUCTION TO BIOSTATISTICS,427,3.634749414519906,78.8,Regular Academic Session
INTRO BIOSTATISTICAL COMPUTING,40,3.7448500000000005,89.5,Regular Academic Session
INTRO TO STATS IN PUBLIC HLTH,69,3.7956231884057976,92,Regular Academic Session
LONGITUDINAL DATA ANALYSIS,29,3.734344827586207,100,Regular Academic Session
STATISTICAL PACKAGES IN RESRCH,83,3.8617108433734932,70.6,Regular Academic Session
INTRO STAT DISTRIB PUBLIC HLTH,17,3.641529411764706,90,Regular Academic Session
LIVING WELL,2632,3.5465516717325225,7.9,Eight Week - Second
HEALTH & HAPPINESS BY DESIGN,1345,3.595241635687733,22.4,Regular Academic Session
INCLUSION HLTH/WELLNESS DESIGN,222,3.6505,79.5,Regular Academic Session
"FOUND OF PARKS, REC & OUTDOORS",144,3.208173611111111,86.8,Regular Academic Session
CREATING SENSE OF PLACE DESIGN,105,3.518133333333333,90.9,Regular Academic Session
RECREATIONAL SPORTS PROGRAMMNG,132,3.221893939393939,87.5,Regular Academic Session
SPORT AND VIOLENCE,284,2.6109823943661974,54,Eight Week - Second
TOPICS IN RPTS,25,3.90792,57.1,Regular Academic Session
MANAGEMENT IN HWD,126,3.1198571428571427,93.5,Regular Academic Session
CAREER & INTERNSHIP PREP,126,3.533928571428571,100,Regular Academic Session
DATA-BASED DECISION-MAKING,160,3.3715624999999996,98.1,Regular Academic Session
AQUATIC MANAGEMENT,93,3.354967741935484,68,Eight Week - Second
EXPERIENCE MARKETING,109,2.8065871559633027,97.4,Regular Academic Session
EVENT PLANNING & PROG DEVELOP,156,3.0665769230769233,98.2,Regular Academic Session
FISCAL MGMT LEISURE SVC ORGS,64,3.3201093750000004,100,Regular Academic Session
LEGAL ASPECTS IN HWD,154,3.625084415584415,83,Regular Academic Session
HR MGMT IN HLTH/WELLNESS DESGN,117,3.2461367521367523,94.3,Regular Academic Session
PHIL OF LEISURE & RECREATION,30,3.2936,100,Regular Academic Session
ADMN THEORY/MGT PRC OF LEISURE,22,3.2225454545454544,100,Eight Week - Second
INTRODUCTION TO SAFETY,41,3.204878048780488,70.6,Thirteen Week
INTRO TO INDUSTRIAL HYGIENE,30,3.4434,94.1,Regular Academic Session
OSHA CONSTRUCTION STANDARDS,28,3.4145357142857145,84.6,Regular Academic Session
SAFETY PROGRAM MANAGEMENT,26,3.3884615384615384,78.6,Thirteen Week
ADVANCED INDUSTRIAL HYGIENE,16,3.3561875,100,Regular Academic Session
SAFETY EDUCATION & TRAINING,18,3.5386111111111114,100,Thirteen Week
INSTRUCT STRAT FOR SAFETY EDUC,19,3.932,95,Regular Academic Session
INTRO TO RSCH IN SAFETY MGT,15,3.8264666666666667,100,Eight Week - First
OCCUPATIONAL RISK MANAGEMENT,27,3.8776296296296295,100,Regular Academic Session
INTRO TO THEM INDUSTRIES,241,2.718265560165975,47.1,Regular Academic Session
PRINCIPLES OF LODGING MGMT,106,3.751641509433962,85.5,Regular Academic Session
INTERNATIONAL TOURISM,97,3.3616597938144333,92.3,Regular Academic Session
MANAGEMENT OF F&B OPERATIONS,93,3.578440860215054,84,Regular Academic Session
CONV MGMT & MEETING PLANNING,108,3.5191111111111115,83.3,Regular Academic Session
FESTIVAL & EVENT MANAGEMENT,99,3.612282828282828,80,Regular Academic Session
ENTREPRENEURSHIP IN THEM,115,3.549008695652174,92.3,Regular Academic Session
REVENUE MANAGEMENT IN T.H.E.M.,88,3.501284090909091,84.8,Regular Academic Session
GLOBAL DESTINATION MGMT,62,3.705032258064516,92.6,Regular Academic Session
CAPSTONE IN THEM,87,3.503057471264368,100,Regular Academic Session
INTRO PUBLIC HEALTH BIOLOGY,737,3.5721356852103123,56.8,Regular Academic Session
FOUND OF ENVIRONMENTAL HEALTH,777,3.6354362934362934,37.2,Eight Week - Second
ENVIRONMENTAL HEALTH,34,3.6172941176470594,92.9,Regular Academic Session
ENVIRONMENTAL & OCCUPATNL EPID,14,3.9285714285714284,100,Regular Academic Session
ENVIRONMENTAL JUSTICE,27,3.874,90.5,Regular Academic Session
BACKPACKING,108,3.9463333333333335,12.5,Non Standard Session
MINDFULNESS IN THE OUTDOORS,89,3.851842696629213,12.5,Eight Week - Second
WILDERNESS FIRST AID,96,3.572979166666667,5.6,Non Standard Session
INTRO TO MOUNTAIN BIKING,20,3.5498500000000006,0,Non Standard Session
CANOEING,44,3.9432727272727273,21.4,Non Standard Session
WHITEWATER KAYAKING,18,3.927666666666666,9.1,Non Standard Session
COASTAL KAYAKING,31,3.9581612903225807,0,Non Standard Session
ROCK CLIMBING,65,3.9030769230769233,0,Non Standard Session
INTRO TO OUTDOOR LEADERSHIP,61,3.7507704918032783,27.3,Eight Week - Second
WILDERNESS FIRST RESPONDER,45,3.464466666666667,23.1,Eight Week - First
PRO SEMINAR DEVELOPMENT 1,115,3.834878260869565,100,Regular Academic Session
EVIDNCE-BSD APP TO PUBLIC HLTH,79,3.7164303797468348,100,Regular Academic Session
POPULATION HEALTH DETERMINANTS,117,3.912777777777778,100,Regular Academic Session
"DISABILITY, HEALTH, & FUNCTION",56,3.7873928571428572,82.4,Regular Academic Session
REC THER ASSESSMENT & PLANNING,52,3.4694807692307696,100,Regular Academic Session
REC THER INTERNSHIP PROF PREP,60,3.60455,100,Regular Academic Session
CONTEMP ISSUES IN REC THERAPY,63,3.7427301587301587,100,Regular Academic Session
PROFESNL DEVELPMNT REC THERAPY,24,3.5706666666666664,100,Regular Academic Session
SOCIAL PSYCHOLOGY OF REC THER,25,3.23164,100,Regular Academic Session
STATISTICS FOR JOURNALISTS,171,3.0632163742690057,0,Regular Academic Session
BUSINESS STATISTICS,2427,3.361722702925422,0,Regular Academic Session
STATISTICS FOR LIFE SCIENCES,430,3.3433395348837207,2,Regular Academic Session
INTRO TO STATISTICAL INFERENCE,315,3.277619047619048,9.7,Regular Academic Session
DATA MODELING AND INFERENCE,101,3.0316237623762374,20,Regular Academic Session
APPLIED LINEAR MODELS I,65,3.0983538461538456,46.2,Regular Academic Session
EXPLORATORY DATA ANALYSIS,145,3.7876344827586212,5,Regular Academic Session
INTRO TO STATISTICS IN R,73,3.430232876712329,0,Regular Academic Session
INTRODUCTION TO STATISTICS,412,3.3042014563106794,0,Regular Academic Session
INTRO STATISTICAL COMPUTING,42,3.7118809523809526,25,Regular Academic Session
FUNDAMENTALS OF STATISTICS I,21,3.4142380952380953,60,Regular Academic Session
BAYESIAN THRY & DATA ANALYSIS,16,3.775,16.7,Regular Academic Session
STATISTICAL CONSULTING,24,3.987625,66.7,Regular Academic Session
ADVANCED STATISTICAL THEORY I,7,3.514,57.1,Regular Academic Session
SEMINAR ON STATISTICAL THEORY,7,4.0,62.5,Regular Academic Session
DIVERSITY IN A PLURALISTIC SOC,256,3.2933359374999993,19,Eight Week - Second
INTRODUCTION TO SOCIAL WORK,287,3.3742613240418113,0,Regular Academic Session
SPECIAL TPCS IN HUMAN SERVICES,40,3.9775,0,Intersession
WRITING IN PROFESSIONAL SWK,114,3.2386403508771933,78.3,Regular Academic Session
HUM GRWTH & DEV IN SOC ENVRMNT,203,3.56864039408867,54.5,Regular Academic Session
HIST & ANALYSIS OF SOC WEL POL,170,3.5741352941176467,63.3,Regular Academic Session
SEL TOPICS IN SOCIAL WORK,249,3.410076305220884,23.1,Eight Week - Second
SUBST ABUSE & SOCIAL SERVICES,44,3.383977272727273,46.2,Regular Academic Session
SMALL GROUP THEORY & PRACTICE,151,3.7332052980132455,95.7,Regular Academic Session
GEN SOC WK PRAC I: THEOR/SKILL,147,3.7517687074829933,90.5,Regular Academic Session
ORGANIZATION THEORY & PRACTICE,121,3.697570247933885,100,Regular Academic Session
INT PRAC-POL SEM SEL FLDS PRAC,118,3.880305084745763,100,Regular Academic Session
SOCIAL WORK PRACTICUM I,140,3.9500500000000005,100,Regular Academic Session
RESEARCH I,28,3.432142857142857,100,Regular Academic Session
SOC POLICY ANALYSIS & PRACTICE,31,3.8356129032258064,100,Regular Academic Session
GENERALIST THEORY AND PRACTICE,29,3.7482413793103446,100,Regular Academic Session
"SOCL WRK PRAC 2:ORG,COMM,SOCTY",27,3.9146666666666667,100,Regular Academic Session
SEMINAR IN SOC WORK,48,3.608083333333333,100,Regular Academic Session
SOCIAL POLICY AND SERVICES,23,3.8174347826086956,100,Regular Academic Session
COMM-BASED PRAC MTL HLTH&ADDIC,65,3.562907692307692,100,Regular Academic Session
MENT HLTH/ADDICT PRACT IND/FAM,64,3.5875468750000006,100,Regular Academic Session
DANCE PRACTICES I,37,3.8515405405405407,77.3,Regular Academic Session
CORE OF DANCE TECHNIQUE,52,3.9884615384615385,23.1,Regular Academic Session
